id,display_name,description,works_count,cited_by_count,domain_id,domain_name,field_id,field_name
subfields/1606,Physical and Theoretical Chemistry,academic field,885200,8751814,domains/3,Physical Sciences,fields/16,Chemistry
subfields/3313,Transportation,human-directed movement of things or people between locations,877840,3469662,domains/2,Social Sciences,fields/33,Social Sciences
subfields/2604,Applied Mathematics,discipline of mathematics,874200,7133147,domains/3,Physical Sciences,fields/26,Mathematics
subfields/1604,Inorganic Chemistry,study of the synthesis and behavior of inorganic and organometallic compounds,873030,12999735,domains/3,Physical Sciences,fields/16,Chemistry
subfields/2507,Polymers and Plastics,substance composed of macromolecules with repeating structural units,858518,11838626,domains/3,Physical Sciences,fields/25,Materials Science
subfields/1405,Management of Technology and Innovation,set of management disciplines that allows organizations to manage their technological fundamentals to create competitive advantage,833627,5142551,domains/2,Social Sciences,fields/14,"Business, Management and Accounting"
subfields/2608,Geometry and Topology,branch of mathematics at the intersection between geometry and topology,826811,6106726,domains/3,Physical Sciences,fields/26,Mathematics
subfields/1706,Computer Science Applications,study of computation,820712,2780796,domains/3,Physical Sciences,fields/17,Computer Science
subfields/2720,Hematology,"study of blood, the blood-forming organs, and blood diseases",817859,12523699,domains/4,Health Sciences,fields/27,Medicine
subfields/1102,Agronomy and Crop Science,"science and technology of producing and using plants for food, fuel, fiber, and reclamation",808779,6575170,domains/1,Life Sciences,fields/11,Agricultural and Biological Sciences
subfields/2729,Obstetrics and Gynecology,medical specialty,804866,6350411,domains/4,Health Sciences,fields/27,Medicine
subfields/2203,Automotive Engineering,discipline of engineering,781632,6584146,domains/3,Physical Sciences,fields/22,Engineering
subfields/2310,Pollution,introduction of contaminants into the natural environment that cause adverse change,780366,13798236,domains/3,Physical Sciences,fields/23,Environmental Science
subfields/1111,Soil Science,study of soil as a natural resource on the surface of the earth,753692,8171237,domains/1,Life Sciences,fields/11,Agricultural and Biological Sciences
subfields/3108,Radiation,"waves or particles propagating through space or through a medium, carrying energy",745138,4612156,domains/3,Physical Sciences,fields/31,Physics and Astronomy
